Artista,Cancion,Ranking,Pais
TruththeBull,HYPE ME UP,88,Canada
BAK Jay,High Breed,89,Canada
Eldar Kedem,Walking Around - Instrumental Version,90,Canada
takaya,"Suspense, horror, piano and music box",91,Canada
XXXTENTACION & Matt Ox,$$$,92,Canada
Aurenth,green to blue (Sped Up),93,Canada
Skittlegirl Sound,"Spooky, quiet, scary atmosphere piano songs",94,Canada
MEYY,Pretty (Sped Up),95,Canada
Gigi Perez,Sailor Song,96,Canada
DM Production,Christmas Is Coming,97,Canada
SoundAudio,Danger,98,Canada
Gia Margaret,Hinoki Wood,99,Canada
Spiritual Gardens,Natural Beauty,100,Canada
FloyyMenor,PELIGROSA,1,Chile
King Savagge & Jairo Vera & Bayron Fire,A200,2,Chile
Surf Curse,Disco,3,Chile
Sabrina Carpenter,Taste,5,Chile
Modern Talking,Brother Louie Mix '98 (feat. Eric Singleton) (Radio Edit),6,Chile
Felix Tena,Tonight,7,Chile
Jere Klein & Mateo on the beatz & El Murciélago,CHIKA MALA,8,Chile
Lucky Brown,Cosa Linda,9,Chile
Kapo,Ohnana,10,Chile
Kolisiøn,3 Segundos De Gloria,11,Chile
Valentino Merlo & The La Planta,Hoy,12,Chile
Kapo,UWAIE,14,Chile
Lady Gaga & Bruno Mars,Die With A Smile,15,Chile
Standly,Pégate,16,Chile
Alphaville,Forever Young,17,Chile
Halcyon Days & Halcyon Days,4.33 (Original Mix),18,Chile
The King Khan & BBQ Show,Love You So,19,Chile
Gold-Tiger,Funny,20,Chile
Los Condores & Silvia Infantas,La consentida (cueca),21,Chile
KAROL G,Si Antes Te Hubiera Conocido,22,Chile
Don Omar,Dutty Love,23,Chile
Punch-Drunk Love,He Needs Me,24,Chile
Omar Courtz & De La Rose,Q U E  V A S  H A C E R  H O Y ?,25,Chile
my head is empty,i was only temporary,26,Chile
Yami Safdie & Lasso,En Otra Vida,27,Chile
Ángela Aguilar & Felipe Botello y El Sonoro Rugir,Abrázame,28,Chile
Fiverlay,Mami Desacata (Remix),29,Chile
Sonnerie Silencieux,"Mode Silence - Muet, Mode Silencieux, Calme, Chut Pour Iphone",30,Chile
ROSÉ & Bruno Mars,APT.,31,Chile
NESYA,delulu,33,Chile
Fonseca,Por Toda la Vida,34,Chile
El Alfa & Nfasis,ESTE,35,Chile
Grupo Frontera,Hecha Pa' Mí,36,Chile
Los Huasos Quincheros,Chile Lindo,38,Chile
Jin,Running Wild,39,Chile
"Clean Bandit,Zara Larsson",Symphony,40,Chile
Pablo Chill-E,Resentia,41,Chile
Drake,One Dance,42,Chile
Aphex Twin,QKThr,43,Chile
Frédéric Chopin,Nocturne No.2 in E-flat Major Op.9 No.2,44,Chile
Sevdaliza & Pabllo Vittar & Yseult,Alibi,45,Chile
Jairo Vera & De La Ghetto,Choka,46,Chile
LUDMILLA & DJ Will22 & Topo La Maskara,Socadona (feat. Mariah Angeliq e Mr. Vegas) [Funk Remix],47,Chile
Altitude Music / BMGPM,Downstream (STEM synth 1),48,Chile
Altitude Music / BMGPM,Principles Of Uncertainty (STEM licks),49,Chile
Srta. Dayana,Bonita,50,Chile
Willie Colon,Talento De Televisión,51,Chile
Piromano El Del Flow Gitano,MIENTES TAN BIEN,52,Chile
Kobe Mane & SoyFlowers,Olympo Rave,53,Chile
Mariah Carey,All I Want for Christmas Is You,54,Chile
Grupo Zúmbale Primo,Tattoo,55,Chile
The White Stripes,We're Going to Be Friends,56,Chile
PeriTune,Halloween ・ cute horror song,57,Chile
Los Dinos de Chile,El Puñetazo,58,Chile
Blessd & Anuel AA & Ovy On The Drums,DEPORTIVO (ANUEL CHORUS),59,Chile
*NSYNC,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,60,Chile
DNK,Sonríele a la Vida,61,Chile
Empire Score,Seven Seas (STEM guitar 01),62,Chile
No Doubt,Just A Girl,63,Chile
Jere Klein & ADAN LA AMENAZA,LA BANDA,64,Chile
Cris Mj,SI NO ES CONTIGO,65,Chile
Ovy On The Drums & Jere Klein,MIRALA,66,Chile
Øneheart & reidenshi,snowfall,67,Chile
Chimbala,Che Che,68,Chile
Josué Novais Piano Worship,Boundless Worship,69,Chile
Yailin La Mas Viral & Puyalo Pantera,CHAPA,70,Chile
MoppySound,Ambient-style emotional piano,71,Chile
El Burger & Kobe Mane & kyozeh,GodKKilla,72,Chile
renzo ed & ELAGGUME,COLOCARTELO,73,Chile
Dj Samir & Fyex,Montagem Rave Eterno,74,Chile
Enchan,Very Sad,75,Chile
MC Xangai & Dj Davy Felipe & DJ TAK VADIÃO,Hoje em Dia é Difícil Encontrar (Versão BH),76,Chile
Esperón,Vamos a Ser Felices,77,Chile
Tiago PZK & Anitta & Emilia,Alegría,78,Chile
Jeroan Drive,no music,79,Chile
Karina y Marina & Hugo23 & Sennior,Bombon Karina VS Sennior,80,Chile
takaya,"Suspense, horror, piano and music box",81,Chile
Lucky Brown,Sola Suelta Soltera,82,Chile
Saiko & Bryant Myers,ESKELETO,83,Chile
фрози & joyful,bounce (i just wanna dance),84,Chile
aespa,Whiplash,85,Chile
The Party Cats,This Is Halloween,86,Chile
Sele Vera y Pampas de Bariloche,El Bailongo en Lo del Rengo,87,Chile
Floricienta,Flores Amarillas,88,Chile
Canal Records JP,Rock and Roll Session,89,Chile
Fran Maira,Amiga Ya Mató,90,Chile
Kevin AMF & Tiagz,Maradona (Tatara),91,Chile
LOLO OG & Ecko & Omar Varela,Mas Lentito,92,Chile
Lenny Tavárez,No Quiere Amor (Remix),93,Chile
Villano Antillano & Nesi,Títeres - Ft. Nesi,94,Chile
Odetari,KEEP UP,95,Chile
Sabrina Carpenter,Please Please Please,96,Chile
Fran C & Jere Klein,Mi Automóvil,98,Chile
Yeah Yeah Yeahs,Maps,99,Chile
PXLWYSE,Eu Sento Gabu!,100,Chile
Heredero,Coqueta,1,Colombia
Blessd & Kris R.,POLOS OPUESTOS REMIX (BLESSD VERSION),2,Colombia
Kapo,UWAIE,3,Colombia
Kapo,Ohnana,4,Colombia
HUMBE,KINTSUGI,5,Colombia
Fonseca,Por Toda la Vida,7,Colombia
Felix Tena,Tonight,8,Colombia
Don Omar,Dutty Love,9,Colombia
Luis Alfonso,Gomela y Montañero,10,Colombia
Reykon & Kapo,Mochilera,11,Colombia
Myriam Hernández,El Hombre Que Yo Amo,12,Colombia
Sele Vera y Pampas de Bariloche,El Bailongo en Lo del Rengo,13,Colombia
Sabrina Carpenter,Taste,14,Colombia
Criss & Ronny & Kapo & La Colectiva Élite,EL STICKER,15,Colombia
Surf Curse,Disco,16,Colombia
Blessd & Ovy On The Drums,Mírame,17,Colombia
Beéle,Frente al Mar,18,Colombia
Omar Courtz & De La Rose,Q U E  V A S  H A C E R  H O Y ?,19,Colombia
Villano Antillano & Nesi,Títeres - Ft. Nesi,20,Colombia
Andy Rivera & VALKA,Desde Antes,21,Colombia
Yailin La Mas Viral & Puyalo Pantera,CHAPA,22,Colombia
Ángela Aguilar & Felipe Botello y El Sonoro Rugir,Abrázame,23,Colombia
Peter Manjarrés & Sergio Luis Rodriguez,Que Dios Te Bendiga (Cancion De Cumpleaños),24,Colombia
Kolisiøn,3 Segundos De Gloria,25,Colombia
Willie Colon,Talento De Televisión,26,Colombia
FloyyMenor,PELIGROSA,27,Colombia
Yami Safdie & Lasso,En Otra Vida,28,Colombia
KAROL G & Feid & DFZM,+57,29,Colombia
Modern Talking,Brother Louie Mix '98 (feat. Eric Singleton) (Radio Edit),32,Colombia
Halcyon Days & Halcyon Days,4.33 (Original Mix),33,Colombia
Myke Towers & benny blanco,DEGENERE,35,Colombia
KAROL G,Si Antes Te Hubiera Conocido,36,Colombia
Maisak & Feid,SE ME OLVIDA,38,Colombia
El Alfa & Nfasis,ESTE,39,Colombia
W Sound & Blessd & Ovy On The Drums,Soltera (W Sound 01),40,Colombia
Ryan Castro & SOG,EL RITMO QUE NOS UNE (feat. Selección Colombia),41,Colombia
Beéle,Frente al Mar,42,Colombia
Chimbala,Che Che,43,Colombia
Sevdaliza & Pabllo Vittar & Yseult,Alibi,44,Colombia
Luis Alfonso,Chismofilia,45,Colombia
LOLO OG & Ecko & Omar Varela,Mas Lentito,46,Colombia
Blessd,YOGURCITO,47,Colombia
Saiko & Bryant Myers,ESKELETO,48,Colombia
Blessd & Anuel AA & Ovy On The Drums,DEPORTIVO,49,Colombia
Kobe Mane & SoyFlowers,Olympo Rave,50,Colombia
J Abdiel & Anuel AA & Blessd,WYA REMIX BLACK AND YELLOW (feat. iZaak & Pirlo),52,Colombia
Altitude Music / BMGPM,Principles Of Uncertainty (STEM licks),53,Colombia
Miguelito,Tranquilo Huey (feat. Randy),54,Colombia
Ryan Castro,GATA G,55,Colombia
Gold-Tiger,Funny,57,Colombia
iZaak & Clarent,TRAQUETO,58,Colombia
Mariah Carey,All I Want for Christmas Is You,59,Colombia
Altitude Music / BMGPM,Downstream (STEM synth 1),60,Colombia
LUDMILLA & DJ Will22 & Topo La Maskara,Socadona (feat. Mariah Angeliq e Mr. Vegas) [Funk Remix],61,Colombia
The White Stripes,We're Going to Be Friends,62,Colombia
Blessd & Anuel AA & Ovy On The Drums,DEPORTIVO (BLESSD CHORUS),63,Colombia
Alphaville,Forever Young,64,Colombia
Nanpa Básico & Beéle,Hasta Aquí Llegué,65,Colombia
Ryan Castro & Maisak,FDSR,66,Colombia
Grupo Frontera,Hecha Pa' Mí,68,Colombia
Lenny Tavárez,No Quiere Amor (Remix),69,Colombia
This Is Mailo & Tavo the producer & JL Topo & Ketlino & LOSDELAPIÑA & DJ Jeffrey Sai,Se Vale Too,70,Colombia
Sevdaliza & Karol G,No Me Cansare,71,Colombia
Valentino Merlo & The La Planta,Hoy,72,Colombia
Mr Black El Presidente & Lenier,Boky Toky,73,Colombia
El Burger & Kobe Mane & kyozeh,GodKKilla,74,Colombia
The King Khan & BBQ Show,Love You So,75,Colombia
Standly,Pégate,76,Colombia
Floricienta,Flores Amarillas,77,Colombia
Empire Score,Seven Seas (STEM guitar 01),78,Colombia
Yailin La Mas Viral & Kreizy K,Dale 2,79,Colombia
Carlos Vives,Cuando Nos Volvamos a Encontrar (feat. Marc Anthony) (Versión Cumbia),80,Colombia
Lady Gaga & Bruno Mars,Die With A Smile,81,Colombia
Toy Cantando & La Vaca Lola,Cumpleaños feliz canta la vaca lola,82,Colombia
Boza & ELENA ROSE,Orion,83,Colombia
PeriTune,Halloween ・ cute horror song,84,Colombia
Esperón,Vamos a Ser Felices,85,Colombia
Churo Diaz & Elías Mendoza,El Fuete,87,Colombia
Yandar & Yostin,Feliz Cumpleaños,88,Colombia
Dj Samir & Fyex,Montagem Rave Eterno,89,Colombia
Silvestre Dangond & Nicky Jam,Cásate Conmigo,90,Colombia
The Party Cats,This Is Halloween,93,Colombia
Sonnerie Silencieux,"Mode Silence - Muet, Mode Silencieux, Calme, Chut Pour Iphone",94,Colombia
Blessd & Maluma,Oe Bebé,95,Colombia
Josué Novais Piano Worship,Boundless Worship,96,Colombia
MC Hernan do Brasil & DJ Pequenho,Meninos Do Favela (feat. Fausti Bo),97,Colombia
Farid Ortiz & Dagoberto Osorio,El Vendaval,98,Colombia
Maluma,Cosas Pendientes,100,Colombia
WZ Beat,Beat Automotivo Tan Tan Tan Viral,1,Croatia
Sabrina Carpenter,Taste,2,Croatia
Nucci,Voice,3,Croatia
Alphaville,Forever Young,4,Croatia
NESYA,delulu,5,Croatia
Aphex Twin,QKThr,6,Croatia
Y2K SPORTS,Doner Kebab Nacho Alejandro Garnacho,7,Croatia
"Clean Bandit,Zara Larsson",Symphony,8,Croatia
Gold-Tiger,Funny,9,Croatia
Nucci,HI HI - HA HA,10,Croatia
Surf Curse,Disco,11,Croatia
Dabi Man,Lepotica i zver,12,Croatia
Disturbed,The Sound of Silence (CYRIL Remix),13,Croatia
Mariah Carey,All I Want for Christmas Is You,14,Croatia
DM Production,Christmas Is Coming,15,Croatia
Sam Austins,Seasons,16,Croatia
Odetari,KEEP UP,17,Croatia
Rasta & Link & PAVILLION,Letnji Randevu,18,Croatia
Miach & Hiljson Mandela,"Anđeo - From ""Sram""",19,Croatia
Punch-Drunk Love,He Needs Me,20,Croatia
Nicki Minaj,Anaconda,21,Croatia
Adel & Ceasar DD & Senidah,DOPAMIN (Remix),22,Croatia
No Doubt,Just A Girl,23,Croatia
Severina,Silikoni,24,Croatia
my head is empty,i was only temporary,25,Croatia
Brenda Lee,Rockin' Around The Christmas Tree,26,Croatia
Voyage & Baka Prase,VVS,27,Croatia
Freak Nasty,Da' Dip (ORIGINAL),28,Croatia
Yeah Yeah Yeahs,Maps,29,Croatia
Ogryzek,AURA,30,Croatia
ROSÉ & Bruno Mars,APT.,31,Croatia
Sepra,Cerak,32,Croatia
Michael Bublé,It's Beginning to Look a Lot like Christmas,33,Croatia
Ariis,FUNK DO BOUNCE (Slowed),34,Croatia
Tollan Kim,Chill Vibes,35,Croatia
Tollan Kim,Aesthetic,36,Croatia
Grše,Fantazija,37,Croatia
John Mackk,Pose For Me (feat. Natalie Nunn) [Remix],38,Croatia
Lady Gaga & Bruno Mars,Die With A Smile,39,Croatia
Balkaton Gang & Rasta,SOS,40,Croatia
Enchan,Very Sad,41,Croatia
Betsy & Мария Янковская,Sigma Boy - Сигма Бой,42,Croatia
Lt FitzGibbons Men,Monkeyshine-JP,43,Croatia
Bajaga & Instruktori,Sa druge strane jastuka,44,Croatia
Platon Davydov,Dramatic Sad Violin,46,Croatia
Drmex,Šta si čula?,47,Croatia
Don Toliver,NEW DROP,48,Croatia
FETISH,Come Check This (Quickie Edit),49,Croatia
Gigi Perez,Sailor Song,50,Croatia
ET,Nemoj Mi Raditi To,51,Croatia
Nucci & Rasta,Ceo Svet,52,Croatia
Seksi & Bandra,Smoke Tour,53,Croatia
The King Khan & BBQ Show,Love You So,54,Croatia
Jason LoCricchio,Join the Team-Backing Track,55,Croatia
Johnny Depp & Helena Bonham Carter,By the Sea (Highlights Version),56,Croatia
MEYY,Pretty (Sped Up),57,Croatia
DOMANSED,Magic Glockenspiel,58,Croatia
Pedja Jovanović,24/7,59,Croatia
Chase Atlantic,Swim,60,Croatia
Srebrna Krila,Božić Dolazi,61,Croatia
Grše,Forza,62,Croatia
Modern Talking,Brother Louie Mix '98 (feat. Eric Singleton) (Radio Edit),63,Croatia
Zeljko Joksimovic,Lane Moje,64,Croatia
Relja,Tuga iz Porschea,65,Croatia
Biba,Lokacija,66,Croatia
uniqe & nkeeei & ARTEM SHILOVETS,ГЛАМУР,67,Croatia
Fox,Fuccboi,68,Croatia
Tommy Richman,MILLION DOLLAR BABY (VHS),69,Croatia
Jala Brat & Buba Corelli,Bez Koda,70,Croatia
AShamaluevMusic,Christmas Magic,71,Croatia
Dino Merlin,Ruža,72,Croatia
FloyyMenor,PELIGROSA,73,Croatia
Nucci,BeBo 4,74,Croatia
Gloveity,10分間の深海の呼吸,75,Croatia
Adventures Of Stevie V,Dirty Cash (Money Talks) - Sold Out 7 Inch Mix,76,Croatia
30Zona,Loše navike,77,Croatia
yo suzuki(akisai),"Funny video ""Carmen Prelude"" Arranging weakness(836530)",78,Croatia
Sound Gallery by Dmitry Taras,Christmas Theme,79,Croatia
Øneheart & reidenshi,snowfall,80,Croatia
Gadi Dahan & Omri Mordehai,Monkey Banana,81,Croatia
Kevin MacLeod,Monkeys Spinning Monkeys,82,Croatia
Charlie Jeer,Her Eyes,83,Croatia
Corona,Bottega Veneta,84,Croatia
Sabrina Carpenter,Bed Chem,85,Croatia
Charli xcx,Apple,86,Croatia
Veaceslav Draganov,Inspiring Triumphant Trailer,87,Croatia
neozilla,Christmas,88,Croatia
Billie Eilish,BIRDS OF A FEATHER,89,Croatia
BCD Studio,Sunrise,90,Croatia
Eternxlkz,SLAY!,91,Croatia
Spiritual Gardens,Natural Beauty,92,Croatia
MC Mablo Dos Paredões,Relaxed (Sped Up),93,Croatia
Clean Bandit,Symphony (feat. Zara Larsson),94,Croatia
"Queens Road, Fabian Graetz",FEEL THE GROOVE,95,Croatia
Skittlegirl Sound,"Spooky, quiet, scary atmosphere piano songs",96,Croatia
Apollo Nove,Creepy Violins,97,Croatia
Dalmatino,Božić Bijeli,98,Croatia
GLXXMSTRIDER,DON`T STOP - Slowed++,99,Croatia
Maya Berovic,To Me Radi,100,Croatia
WZ Beat,Beat Automotivo Tan Tan Tan Viral,1,Czechia
Odetari,KEEP UP,2,Czechia
Hard Rico,GHETTO ROMANTIKA,3,Czechia
Surf Curse,Disco,4,Czechia
NESYA,delulu,5,Czechia
Hard Rico & Yzomandias,Narcos,6,Czechia
Y2K SPORTS,Doner Kebab Nacho Alejandro Garnacho,7,Czechia
Aphex Twin,QKThr,8,Czechia
Alphaville,Forever Young,9,Czechia
Gigi Perez,Sailor Song,10,Czechia
"Clean Bandit,Zara Larsson",Symphony,11,Czechia
Freak Nasty,Da' Dip (ORIGINAL),12,Czechia
Sabrina Carpenter,Taste,13,Czechia
Mariah Carey,All I Want for Christmas Is You,14,Czechia
Yeah Yeah Yeahs,Maps,15,Czechia
Gold-Tiger,Funny,16,Czechia
No Doubt,Just A Girl,17,Czechia
Ariis,FUNK DO BOUNCE (Slowed),18,Czechia
Calin,Pistácie (feat. Sofian Medjmedj),19,Czechia
my head is empty,i was only temporary,20,Czechia
Sam Austins,Seasons,21,Czechia
Chase Atlantic,Swim,22,Czechia
Don Toliver,NEW DROP,23,Czechia
Betsy & Мария Янковская,Sigma Boy - Сигма Бой,24,Czechia
Pil C & Luca Brassi10x & Separ,NENI STRE$S,25,Czechia
Punch-Drunk Love,He Needs Me,26,Czechia
ROSÉ & Bruno Mars,APT.,27,Czechia
Earth,Diamanty,28,Czechia
Lady Gaga & Bruno Mars,Die With A Smile,29,Czechia
Disturbed,The Sound of Silence (CYRIL Remix),30,Czechia
Ogryzek,AURA,31,Czechia
Kairo Keyz,GANG,32,Czechia
Kryštof,Inzerát,33,Czechia
Ben Cristovao,KARTÁČEK,34,Czechia
Brenda Lee,Rockin' Around The Christmas Tree,35,Czechia
MEYY,Pretty (Sped Up),37,Czechia
Ben Cristovao,OPRAVDOVÝ,38,Czechia
Michael Bublé,It's Beginning to Look a Lot like Christmas,39,Czechia
John Mackk,Pose For Me (feat. Natalie Nunn) [Remix],40,Czechia
Tommy Richman,MILLION DOLLAR BABY (VHS),41,Czechia
uniqe & nkeeei & ARTEM SHILOVETS,ГЛАМУР,42,Czechia
Lboy Bsc,Bouřka,43,Czechia
Lt FitzGibbons Men,Monkeyshine-JP,44,Czechia
Tollan Kim,Aesthetic,45,Czechia
Charlie Jeer,Her Eyes,46,Czechia
The King Khan & BBQ Show,Love You So,47,Czechia
Viktor Sheen,Cígo a káva (feat. Saul),48,Czechia
Ektor,Upgrade,49,Czechia
Sevdaliza & Pabllo Vittar & Yseult,Alibi,50,Czechia
Nicki Minaj,Anaconda,51,Czechia
Separ & Peter Pann,Bbejbb,52,Czechia
Sam Smith,Money On My Mind,53,Czechia
Rohony & Manene,Letná,54,Czechia
Zivert,мутки,55,Czechia
Ektor & Calin,Toxickej,56,Czechia
Dj Samir & Fyex,Montagem Rave Eterno,57,Czechia
i don't like mirrors,i miss your warm hands,58,Czechia
Eternxlkz,SLAY!,59,Czechia
*NSYNC,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,60,Czechia
Dollar Prync & Hard Rico,Režim nerušit,61,Czechia
Charli xcx,Apple,62,Czechia
もつ,Nocturne (Chopin) calm piano solo,63,Czechia
Modern Talking,Brother Louie Mix '98 (feat. Eric Singleton) (Radio Edit),64,Czechia
Healing Music Lab,Healing music of love frequency 528Hz(1288586),65,Czechia
Ben Cristovao & fiedlerski & STEIN27,PAPA - Enthic Eurodance Remix,66,Czechia
Tollan Kim,Chill Vibes,67,Czechia
PeriTune,Halloween ・ cute horror song,68,Czechia
Platon Davydov,Dramatic Sad Violin,69,Czechia
DM Production,Christmas Is Coming,70,Czechia
Inner Circle,Bad Boys (Theme from Cops),71,Czechia
KALEO,Way down We Go,72,Czechia
BCD Studio,Ready,73,Czechia
Clavier,Hinoki Wood,74,Czechia
GLXXMSTRIDER,DON`T STOP - Slowed++,75,Czechia
Calin,Vítej mezi náma (feat. STEIN27),76,Czechia
yo suzuki(akisai),"Funny video ""Carmen Prelude"" Arranging weakness(836530)",77,Czechia
Hanumankind & Kalmi,Big Dawgs,78,Czechia
Travis Scott,FE!N (feat. Playboi Carti),79,Czechia
Gloveity,10分間の深海の呼吸,80,Czechia
MC Mablo Dos Paredões,Relaxed (Sped Up),81,Czechia
Kimya Dawson,You Love Me,82,Czechia
Enchan,Very Sad,83,Czechia
Shimmi & SIMILIVINLIFE & GABRIELL,AM4,84,Czechia
Anthony Gonzalez & Ana Ofelia Murguía,Remember Me (Reunion),86,Czechia
Steve Sniff,Spáry,87,Czechia
Megan Thee Stallion,Mamushi (feat. Yuki Chiba),88,Czechia
Kevin MacLeod,Monkeys Spinning Monkeys,89,Czechia
Loko Loko,10'000'000V,90,Czechia
GloRilla & Sexyy Red,WHATCHU KNO ABOUT ME,91,Czechia
Johnny Depp & Helena Bonham Carter,By the Sea (Highlights Version),92,Czechia
Veaceslav Draganov,Inspiring Triumphant Trailer,93,Czechia
Separ,Pinokio,94,Czechia
Misha Miller & Alex Velea,Bam Bam,95,Czechia
Wham!,Last Christmas (Pudding Mix),96,Czechia
Drake,Toosie Slide,97,Czechia
Gaara FF,Ela joga (Remix),98,Czechia
Rae Sremmurd,No Type,99,Czechia
Clean Bandit,Symphony (feat. Zara Larsson),100,Czechia
Odetari,KEEP UP,1,Denmark
Freak Nasty,Da' Dip (ORIGINAL),2,Denmark
Vici Fagan,RIDE,3,Denmark
WZ Beat,Beat Automotivo Tan Tan Tan Viral,4,Denmark
NESYA,delulu,5,Denmark
Aphex Twin,QKThr,6,Denmark
Yeah Yeah Yeahs,Maps,7,Denmark
Marstein & Annika,SAMMEN,8,Denmark
Surf Curse,Disco,9,Denmark
John Mackk,Pose For Me (feat. Natalie Nunn) [Remix],10,Denmark
Alphaville,Forever Young,11,Denmark
Sabrina Carpenter,Taste,12,Denmark
Charli xcx,Apple,13,Denmark
Don Toliver,NEW DROP,14,Denmark
"Clean Bandit,Zara Larsson",Symphony,15,Denmark
Sam Austins,Seasons,16,Denmark
KESI & Lamin,To Gange,17,Denmark
Gold-Tiger,Funny,18,Denmark
Stepz,Rock,19,Denmark
Annika,Så længe jeg er s3xy.,20,Denmark
Trinidad Cardona,Jennifer (Rap Remix),21,Denmark
Lady Gaga & Bruno Mars,Die With A Smile,22,Denmark
Michael Bublé,It's Beginning to Look a Lot like Christmas,23,Denmark
Medina,Rick Ross,24,Denmark
No Doubt,Just A Girl,25,Denmark
Chase Atlantic,Swim,26,Denmark
HOP&HYG,Millioner,27,Denmark
Mariah Carey,All I Want for Christmas Is You,28,Denmark
my head is empty,i was only temporary,29,Denmark
zack famøs!,HOP IND I BILEN,30,Denmark
Sam Smith,Money On My Mind,31,Denmark
Benny Jamz & Gilli,Booty Up,32,Denmark
Zeke Pujols,Who Can Blame Her,33,Denmark
Gigi Perez,Sailor Song,34,Denmark
Tony Matterhorn,Dutty Whine,35,Denmark
Y2K SPORTS,Doner Kebab Nacho Alejandro Garnacho,36,Denmark
KEWAN LIGGER BEATET NORMAL & Tessa & Saint clara,Nasty Sommer,37,Denmark
Lt FitzGibbons Men,Monkeyshine-JP,38,Denmark
ROSÉ & Bruno Mars,APT.,39,Denmark
Tollan Kim,Aesthetic,40,Denmark
Medina & Tessa,Rick Ross Pt. 2,41,Denmark
Vesterbro Ungdomsgård & KARUI,Børnene Fra Sølvgade (feat. Thomas Helmig),42,Denmark
Punch-Drunk Love,He Needs Me,43,Denmark
Charlie Jeer,Her Eyes,44,Denmark
Betsy & Мария Янковская,Sigma Boy - Сигма Бой,45,Denmark
Lola Young,Messy,46,Denmark
Sabrina Carpenter,Bed Chem,47,Denmark
Rae Sremmurd,No Type,48,Denmark
FLO,Cardboard Box - Happi Remix,49,Denmark
Frédéric Chopin,Nocturne No.2 in E-flat Major Op.9 No.2,50,Denmark
Tollan Kim,Chill Vibes,51,Denmark
Brenda Lee,Rockin' Around The Christmas Tree,52,Denmark
unknown,eating sound,53,Denmark
DM Production,Christmas Is Coming,54,Denmark
MEYY,Pretty (Sped Up),55,Denmark
uniqe & nkeeei & ARTEM SHILOVETS,ГЛАМУР,56,Denmark
Johnny Depp & Helena Bonham Carter,By the Sea (Highlights Version),57,Denmark
Tommy Richman,MILLION DOLLAR BABY (VHS),58,Denmark
LIAMOO & Klara Hammarström,Make a Wish,59,Denmark
Travis Scott,FE!N (feat. Playboi Carti),60,Denmark
Annika,Luk Mig Ind,61,Denmark
Ogryzek,AURA,62,Denmark
vtze archive & Mc Ster,MTG DIAMANTE ROSA 2,63,Denmark
Laufey,Santa Baby,64,Denmark
Disturbed,The Sound of Silence (CYRIL Remix),65,Denmark
Justin Bieber,Life Is Worth Living,66,Denmark
Gabriela Bee,MAYBE,67,Denmark
Project Pat,Life We Live (feat. Namond Lumpkin & Edgar Fletcher),68,Denmark
Gobs & ICEKIID,4 LIFE,69,Denmark
Tyla,PUSH 2 START,70,Denmark
Adrian,7AM - Slowed + Reverb,71,Denmark
Clavier,Hinoki Wood,72,Denmark
The Kid LAROI,BABY I'M BACK,73,Denmark
The King Khan & BBQ Show,Love You So,74,Denmark
Modern Talking,Brother Louie Mix '98 (feat. Eric Singleton) (Radio Edit),75,Denmark
Kairo Keyz,GANG,76,Denmark
GloRilla & Sexyy Red,WHATCHU KNO ABOUT ME,77,Denmark
Billie Eilish,BIRDS OF A FEATHER,78,Denmark
Ariis,FUNK DO BOUNCE (Slowed),79,Denmark
Enchan,Very Sad,80,Denmark
Jordan Adetunji,KEHLANI,81,Denmark
Gadi Dahan & Omri Mordehai,Monkey Banana,82,Denmark
もつ,Nocturne (Chopin) calm piano solo,83,Denmark
Addison Rae,Diet Pepsi,84,Denmark
Ariana Grande,sweetener,85,Denmark
PeriTune,Halloween ・ cute horror song,86,Denmark
Drake,Toosie Slide,87,Denmark
Michael Prince,Finesse (feat. Koncept P) (Live),88,Denmark
Nicki Minaj,Anaconda,89,Denmark
ozzy,Alt Jeg Ved,90,Denmark
Lil Liquorice,Npc ahh,91,Denmark
Platon Davydov,Dramatic Sad Violin,92,Denmark
Kevin MacLeod,Monkeys Spinning Monkeys,93,Denmark
Adventures Of Stevie V,Dirty Cash (Money Talks) - Sold Out 7 Inch Mix,94,Denmark
*NSYNC,Bye Bye Bye - From Deadpool and Wolverine Soundtrack,95,Denmark
MC Mablo Dos Paredões,Relaxed (Sped Up),96,Denmark
Gracie Abrams,That’s So True,97,Denmark
Mozzy & Iamsu!,Famous (I'm the One),99,Denmark
Zuloo,MOLLY,100,Denmark
Youssif Elashry,اتنسينا,1,Egypt
Khalid Assiri,Ybgalha Flos,2,Egypt
Ghaliaa & Always April,Akher Yawm - Instrumental,3,Egypt
Reda El Bahrawy,Aal Doghrey - ع الدوغرى,4,Egypt
Bahaa Sultan,Ana Mn Gherak,5,Egypt
Lella Fadda & Abyusif,ATTA3,6,Egypt
Al Shami,Wein,7,Egypt
Maniak-B,Disappear,8,Egypt
Amr Gaber,ايدك فى ايدي,9,Egypt
Halcyon Days & Halcyon Days,4.33 (Original Mix),10,Egypt
Kolisiøn,3 Segundos De Gloria,11,Egypt
Altitude Music / BMGPM,Downstream (STEM synth 1),12,Egypt
Altitude Music / BMGPM,Principles Of Uncertainty (STEM licks),13,Egypt
حمو الطيخا,مهرجان  طرزان علي كوكبى,14,Egypt
Empire Score,Seven Seas (STEM guitar 01),15,Egypt
Dr Dezel,Khodo Laftkm,16,Egypt
Yazan Haifawi,Wainek Min Zaman,17,Egypt
TURBINES DRIVE,Free Your Mind,18,Egypt
